SYMBOL,Gene,Feature
OR10J8P,ENSG00000251686,ENST00000504659
RP11-550P17.5,ENSG00000228560,ENST00000431862
,,
BIN1,ENSG00000136717,ENST00000348750
BIN1,ENSG00000136717,ENST00000393041
BIN1,ENSG00000136717,ENST00000376113
BIN1,ENSG00000136717,ENST00000352848
BIN1,ENSG00000136717,ENST00000393040
BIN1,ENSG00000136717,ENST00000462958
BIN1,ENSG00000136717,ENST00000259238
BIN1,ENSG00000136717,ENST00000484253
BIN1,ENSG00000136717,ENST00000346226
BIN1,ENSG00000136717,ENST00000357970
BIN1,ENSG00000136717,ENST00000316724
BIN1,ENSG00000136717,ENST00000351659
BIN1,ENSG00000136717,ENST00000466111
BIN1,ENSG00000136717,ENST00000409400
LINC01090,ENSG00000231689,ENST00000434418
AC104131.1,ENSG00000213115,ENST00000392363
LINC01090,ENSG00000231689,ENST00000415357
,,
CTD-2215E18.1,ENSG00000251513,ENST00000504578
YTHDF1P1,ENSG00000251389,ENST00000515217
COL11A2,ENSG00000204248,ENST00000374708
COL11A2,ENSG00000204248,ENST00000341947
COL11A2,ENSG00000204248,ENST00000477772
COL11A2,ENSG00000204248,ENST00000361917
RP5-1120P11.1,ENSG00000237686,ENST00000422059
,,ENSR00002054086
ARID1B,ENSG00000049618,ENST00000494260
ARID1B,ENSG00000049618,ENST00000346085
ARID1B,ENSG00000049618,ENST00000350026
ARID1B,ENSG00000049618,ENST00000414678
,,ENSR00002067764
PARK2,ENSG00000185345,ENST00000612485
PARK2,ENSG00000185345,ENST00000366898
PARK2,ENSG00000185345,ENST00000338468
PARK2,ENSG00000185345,ENST00000479615
PARK2,ENSG00000185345,ENST00000366894
PARK2,ENSG00000185345,ENST00000366896
PARK2,ENSG00000185345,ENST00000366892
PARK2,ENSG00000185345,ENST00000610470
PARK2,ENSG00000185345,ENST00000366897
ARPC1B,ENSG00000130429,ENST00000491294
ARPC1B,ENSG00000130429,ENST00000445924
ARPC1B,ENSG00000130429,ENST00000463078
ARPC1B,ENSG00000130429,ENST00000468337
ARPC1B,ENSG00000130429,ENST00000481997
ARPC1B,ENSG00000130429,ENST00000252725
ARPC1B,ENSG00000130429,ENST00000451682
PDAP1,ENSG00000106244,ENST00000496335
PDAP1,ENSG00000106244,ENST00000350498
ARPC1B,ENSG00000130429,ENST00000432343
ARPC1B,ENSG00000130429,ENST00000484600
ARPC1B,ENSG00000130429,ENST00000484375
PDAP1,ENSG00000106244,ENST00000426447
